"Procedure","CPU Time (s)","System Time (s)","User Time (s)","Maximum RAM (MB)","num_vars"
"LR",4369,104,3788,4310,411548
"LR",4620,106,4044,4360,416911
"LR",719,20,492,478,48835
"LR",678,20,482,473,37361
"LR",478,14,346,424,27443
"LR_retrain",4397,98,3455,10986,411548
"LR_retrain",4427,102,3706,10986,416911
"LR_retrain",965,22,521,10986,48835
"LR_retrain",896,21,511,10986,37361
"LR_retrain",662,17,401,10986,27443
"LR_CV",11539,327,10820,11560,411548
"LR_CV",11764,332,11002,11560,416911
"LR_CV",8085,279,7522,11560,48835
"LR_CV",6362,71,5954,11560,37361
"LR_CV",6052,65,5767,11560,27443
